image_link,group_id,entity_name,entity_value,units,text_output
https://m.media-amazon.com/images/I/61I9XdN6OFL.jpg,748919,item_weight,500.0 gram,gram,"— =
PROPSS’ m
INATURE]
INGREDIENT MENAGER:
| na
"
https://m.media-amazon.com/images/I/71gSRbyXmoL.jpg,916768,item_volume,1.0 cup,cup,"es 2
, 1
$$$ $$ : 9
AnniriCiia
| VE £ LEBENSMITTELECHT
‘oN aA :
PA, vO OER
{ \! a Z, 4
7 1 FAWN .
i i. , = we we
5 =pU- "" = GEPRAGTES
y Ae) F- DESIGN
_
dn "" i =a T 1
; \ ns You LiKe BE hee be Designed in
Y . ay ee || | == A
. e LM Ya ee iL | oR ait XY. O
oS REN rn <a)
LIZENZIERTE UND GESCHUTZTE DESIGNS
"
https://m.media-amazon.com/images/I/617Tl40LOXL.jpg,731432,item_weight,1400 milligram,milligram,"@
PSYLLIUM
HUSK
GD 305"")
"
https://m.media-amazon.com/images/I/81N73b5khVL.jpg,149159,item_weight,30.0 kilogram,kilogram,"Grofe Kapazitat, Thagtahigkeit bis zu 30 kilogram
— LL
4™® Das Material ist ca. 5 millimetre dick und die Fugen sind verstarkt, so dass
W es sehr stark ist.
O. Tragfahigkeit bis zu 30 kilogram, kann eine Vielzahl von Gegenstanden
32} aufnehmen.
\V y
_—— ave AS \ hth
wey i t r% , , a“ = y ¥/
ret Yi, BG a ety Gf
"
https://m.media-amazon.com/images/I/91LPf6OjV9L.jpg,281678,item_weight,3.53 ounce,ounce,"f -
. pe): .
\2
i Helps in 2 ;
- osteoarthritis Helps in
digestion
~Reduces
' inflammation ox
(89, ”
WIS ad
nQ =\4
} ? qt BASED < > /) t
Anti-bacterial —— ex |
properties , Ne C EN |
~ t), 2» Ce \\
Helps ty he 4A - Ler Koa : shy, G
PCOS es as a grin
; es Parga SAL, d: ” <<) Ge
X 7 ~ ©, SS gS eS ,
. ROG eo f oy A a 6
- f i 4 K Oe y
"
https://m.media-amazon.com/images/I/61wzlucTREL.jpg,252585,item_volume,4.0 gallon,gallon,"STRETCHABLE AND BLACK FABRIC BLOCKS
FORM FITTING f THE LIGHT
/ EXPERT-GRADE GEL
NON-TOXIC NO SMELL
FLEXIBLE COMFORTABLE FOR
COLD OR HOT THERAPY .
3.1 inch
oO
w
=""
22.2 inch
"
https://m.media-amazon.com/images/I/71nywfWZUwL.jpg,179080,voltage,48.0 volt,volt,"i (-) x
/, // 9.410 metre/3.58% ‘ ji
Re 4 x
36.8 centimetre/ ~
/ 14.48"" \
ABV 47. BA 4 1a
Type Downtube Battery
13Ah: 2500 metre-A-h
Battery Cell 17.5Ah: Sam-sung/L_-G/Cell
3500mAh Send it randomly
@p Charger Sf
A8 volt 13Ah (2A)
tH Charger Output Current ABV 17.5Ah (4A)
= USB port Ny
() BMS 30A
Pc) Battery Weight AKG / 44 kilogram
"
https://m.media-amazon.com/images/I/61o2ntPNNgL.jpg,179080,wattage,800.0 watt,watt,"fa \,*
«
7 FREEWHEELS 800 watt 36 volt
GABEL MINDESTBREITE 135 millimetre
HINTERRAD MIT BRUSHLESS MOTOR
"
https://m.media-amazon.com/images/I/71IUuTJ8QwL.jpg,601746,item_weight,330.0 pound,pound,"Superior Quality
Put durability, safety, and environmental protection first.
Honeycomb Surface
Offers solid performance and ensures that
the yoga ball won’t burst suddenly.
~ > -
mw Explosion-Proof Design
aoe Provides the best protection and
prevents injuries.
Environmentally Friendly Material
Just use it with confidence knowing it’s made
of environmentally friendly material. 4
No Sticking
Rest assured that the surface won't stick to
your skin, clothing, floor, and much more.
330Ibs Load Bearing
Im Never worry about the load-bearing capacity
of this yoga ball as it can support up to 330Ibs.
"
https://m.media-amazon.com/images/I/61-oj+N+BxL.jpg,459516,item_volume,30.0 millilitre,millilitre,"wAx«se
2S
Merge
ul
South Hoon
Dendrobium &Mullein
Extract Herbal Drop
Powerful Lung Support + a
Cleanse +
Respiratory + | | | |
|
°
1 |
« a
SS er at
ie \o Sach poop
A) <7 PS —- ae
>
~
> a ct Herbal Drop
a’. is ,
enxrks VEGAN. GMO FREE [SO
VEGAN - GMO FREE: 150 a
"
https://m.media-amazon.com/images/I/61eOO5IW4NL.jpg,369753,item_volume,3.0 cubic foot,cubic,"\ |) \ l)
Sh 3p —v
1 TEST 2 PREP
Take a easy skin allergy test Skin care and moisturizing before use
3 CUT 4 STICK
Cut to the size as required Cover the areas that need
"
https://m.media-amazon.com/images/I/71Oo4M3ApxL.jpg,752266,voltage,"[100.0, 240.0] volt",0,"4.72inch/12 centimetre
CO 2 vw : -
E27 Socket /  ¢ A \
| Yay
© Uf | | \ 7.08inch/18 centimetre
AC 100-240 volt |
| i
|
Max Wattage _ .
7.48inch/19 centimetre
BULBS ARE NOT INCLUDED
I ; ,\@
"
https://m.media-amazon.com/images/I/71pKB7-3itL.jpg,459516,item_volume,16.0 fluid ounce,fluid,"ill
LZ

= om —3
am, _ - -
Karths Crea | = . ""
~ C 1000; ata SHIELD | Cell Protector}
/q CurQlite 2 xid nr

Immunity
SHOP NOW
"
https://m.media-amazon.com/images/I/712sZRVe98L.jpg,731432,item_weight,2.0 ton,ton,"SUGGESTED USE:

Take up to 2 gummies daily. Do not exceed the
stated recommended daily dose.

Food supplements must not be used as a substitute
for a varied and balanced diet and a healthy
lifestyle. If you are pregnant, breastfeeding taking
any medications or under medical supervision,
please consult a doctor or healthcare professional
before use. Discontinue use and consult a doctor if
adverse reactions occur. Keep out of reach of
children. Store in a cool, dry place. Do not use if seal
is broken or missing.

Sunshyne Vitality

215b

2 Lansdowne Road

Croydon

CR9 2ER

United Kingdom J 0000 158230175
"
https://m.media-amazon.com/images/I/81+ZDpWM6aL.jpg,281678,item_volume,1977.0 decilitre,decilitre,"COOPERATIVA 0 R G N E
ae GIAPPONE
FAMIGLIARE

Coltivatori dad 1977

a
AW :
Ye ~» f om, 4 a,
y NZ DV ae

— (2
"
https://m.media-amazon.com/images/I/61sYpkCc8gL.jpg,281678,item_volume,1.0 litre,litre,"oul . “(
WW, iy
Cewiremischung x Win
\ fur Glihwein Uy |
e a
| | TO AUFCUSSBEUTEL
"
https://m.media-amazon.com/images/I/71DdZjdjY2L.jpg,767202,item_weight,2325.0 microgram,microgram,"Green Print
'
LEXMARK
G e Lexmark MC 2325 adw_ e Lexmark MC 2425 adw
e Lexmark MC 2535 adwe e Lexmark MC 2640 adwe
e Lexmark C 2425 DW e Lexmark C 2535 DW
"
https://m.media-amazon.com/images/I/610bLFQIS3L.jpg,442321,height,95.0 centimetre,centimetre,"\Y
A Pom/23 gu ~~ esa""
w~
MAS 95 centimetre/37.4""
MIN61 centimetre/24""
Ww
VM,
/ , I
eS FY
Vy: =S5 , aoe a
<2 41, Se. @ eae
—— en aoc™
"
https://m.media-amazon.com/images/I/71+75wp1BQL.jpg,459516,item_volume,4.0 quart,quart,"Been s Gio es > BE oie ee
THE GOOD PATCH. = GOOD PATCH.

15 ee 15 Premium
MG extract MG Extract

QTY. 04 PATCHES Y. O4 PATCHES

Is it hot in here? hot in here?

This patch is complete with 15 milligram Premium » patch is complete with 15 milligram Premium

Hemp Extract, Black Cohosh and other key 1p Extract, Black Cohosh and other key

ingredients. edients.
"
https://m.media-amazon.com/images/I/615svlFid7L.jpg,412008,wattage,3.0 horsepower,horsepower,"Os Knock-D oe
FL matenes canes. woncreom  EIMMMDo
#))'
Ore One r \
’ \« a 1 PA vi
Veh
orn Ou Ox oe
"
https://m.media-amazon.com/images/I/71CE2IDHBhL.jpg,892291,wattage,22.0 kilowatt,kilowatt,"A _—
‘\
| 220 volt)) a)
, a
"
https://m.media-amazon.com/images/I/71rhdp9yCQL.jpg,609802,item_weight,"[5.5, 10.0] kilogram",5,"'GroGentabelle|
Gewicht Nacken Brustumfang

XS 2:5-4.5 kilogram 26.7-30.5 centimetre 33.0=45.7 centimetre
Ss 5.5-10 kilogram 33-36.8 centimetre 40.6-55.9 centimetre
M 10.5-19 kilogram 41.9-53.3 centimetre | 53°3-71,1 centimetre
L 19.5-32.5 kilogram 43.2-57.1 centimetre 61.0-83.3 centimetre
XL 33-49 kilogram 57.1-64:8 centimetre 66.0-96.5 centimetre

XXL 46-59 kilogram 67.3-78.7 centimetre  73.7-111.8 centimetre

Umfangsmessung:

Mit einem Messtisch, —s

Messen Sie um die breiteste ,

Teil Ihres Hundes’

“Gréfentipp: Wenn zwischen den Gréfien :

wahlen Sie die kleinere Gréfie.”
"
https://m.media-amazon.com/images/I/71mUDyyidPL.jpg,630869,item_weight,"[15.02, 15.88] gram",2,": : <<>2
WIVOAOUO Le:
PROPRIETA
é © ))imensroni:
, a Vompatinile'con kandora
ay 4 e€ competitors paritari
"
https://m.media-amazon.com/images/I/61c2VvsjvsL.jpg,459516,item_weight,5 gigabyte,gigabyte,"— =
- <2)
'ngredients;
| Lebiium peruvianum G. Chacén) 100% Organ td
| Geatnized Red Maca Root 500 milligram
jeeearan Cellulose (HPMC:) Capsule 100 metre
""*idoxypropyimethyl cellulose)
vs juni
Ths Maca Root was produced by farmers 0 a
| S22Uin Peru between 3.000 and 4.000 metre.25!
® inherited ancestral forms.
Aneutlzed means: . Neato dissovet®
Where maca root is pre-cool
“ath and improve diassvon
ailtestea use: at
p, capsules daily, best taken in the mo
Ome the UK for SelvaBio Lid London
BN ogpsettified by Soil Association
7222800 | Best Before: 27/10/2024 4
5 cult
| | | | BORG? agit
Hemet a 3721 Non cael
"
https://m.media-amazon.com/images/I/512Bph1OuuL.jpg,507467,height,46.5 millimetre,millimetre,"ONE KEY OPERATION
(udu 269 x 46.5 millimetre
BfS =—_ 266 gram
"
https://m.media-amazon.com/images/I/71MbFO7eiiL.jpg,208023,item_weight,2.2223333344444455e+20 gram,e,"Ha
ror
H\r ry
» an |
a r
Hl r
( ’
° 1 © \ \ . \ .
Hr . a%' >>”)
a y f ,
r y YY ]
y
|
r ta
jon ee :
giorti aries =
anaes: _ : |
288 re |
eee 411"" pera 0 gram —_ |
r a
on) 92%? _18?"" ee ; ams ——— 310412022
yoo’. cm wean
por® oso er oot) ‘ 7 % * >? ght
orien oe
tee re 58
S oe roe cm
pe” vat at?
0” yt <> °°
9° oo 4”
6e °° ou <?
a? »* e*
wy <2 °°
. wot oo l
¢€ hs
N
Si
"
https://m.media-amazon.com/images/I/817Y1iC5ZUL.jpg,884560,item_volume,3.0 pint,pint,"— — r a
%
7 . j h
ren ) \
' — 4
"
https://m.media-amazon.com/images/I/61ermrkPyfL.jpg,884560,item_volume,48.0 centilitre,centilitre,"\ \

. , 4
, gg gg. i
| /MARCELBIO} MARCELBIO | MARCELBIO|
4 SOUPE ARTISANALE DE FRANCE SOUPE ARTISANALE DE FRANCE SOUPE ARTISANALE DE FRANCE
| WS ) ; | WS
| ~— 4 zy ""| an om ~— 4 |
| . i x, N | , (4% ni f q . ( gs |

TOMATE* BASILIC™ ""BCL TOMATE* BASILIC® wal } TOMATE* Basiuice ~ 48 |
"
https://m.media-amazon.com/images/I/71v7lPCPvnL.jpg,860821,voltage,"[14.4, 20.0] volt",4,"LY
Ni £ tl 4 iv,
) =e eS} i HY
\\ 5 ae j
SF \\
Portable fan with light
a
Press the button within 1S and release, low—mid—high speed—tum off
Start/Stop LED Light Press the button within 3S and release, low—mid—high speed—tum off
"
https://m.media-amazon.com/images/I/81-8xIBKuVL.jpg,529606,item_weight,6 candela,candela,"“ws >
ga pure” Se pure’ pure”
¥ e | mn J
iS Scented Jar Candle Scentec PM On rece : Sertect Jbtlandt
ee source (India)
ze w Scented Jar Candle ow
Se Festive Gift Pack ee ———
Set of 6 Candle - a : — ,
a _«~ 7 ton
= pt
—_ rb) i Scented Jar Candle a
) os
= 6 Son S
y Pure mg = Ss
fos 4 =
Va t = 5
Scented Jar Candle an
ve, -_—-s> = a —
"
https://m.media-amazon.com/images/I/71IE1gi8i-L.jpg,844474,item_weight,"[13.77, 24.8] pound",7,"G/SKYSPER | LARGE STORGE
og
SKYSPER
aD
A ie)
1s)
a =
ae Ss
ss) == 5
_ | f) > Anti-lost Rain Cover
M ail TENGGER @ | Een
_— 18¢ 2 Rain Cover Compartment
™/7.og;, ecm] 40 .
LOAD RANGE FIT SIZING WAIST BELT RANGE
13.77-24.80|b/6.25-11.25 kilogram 41.5-46.5 centimetre/16.3-18.3inches — 80-150 centimetre/31.49-59.05inches
"
https://m.media-amazon.com/images/I/6164esKEJ8L.jpg,881883,depth,29.0 inch,inch,"MEASURE [TJ wioowwitH You wILt NEED
EXPERT TIPS TO HAVE Up to 29""Wide 1 Panel
YOU ON YOUR WAY TO 30"" to 39"" 1 or 2 Panels
"" "" 2 P |
BEAUTIFUL WINDOWS 40 to 48 anels
—_ 49"" to 72"" 3 Panels
—Poes0809) A jOOCad —= 73"" to 96"" 4 Panels
97"" to 120"" 5 Panels
cas 121"" to 144"" 6 Panels
: ue WINDOW WIDTH
B | WINDOW SILL LENGTH
APRON LENGTH
ee || TOORLENSTH
Pron ee
"
https://m.media-amazon.com/images/I/51koXJPZvPL.jpg,221399,maximum_weight_recommendation,2 person,person,"=
Suitable for
= e
v 2 Persons
4 |
SY Handcrafted
Swing Chair
4«
.& Suitable for
ve Kids and Adult
Spacious and
Va Comfortable
"
https://m.media-amazon.com/images/I/61GWix0PPHL.jpg,847223,item_weight,"[6.6, 19.8] pound",6,"Size Height Width Diameter
M Ain(iocm) 7 inch(18 centimetre) 54/siN (14 centimetre)
Weight between 6.6-19.8lbs
Hold up 1 Cup
Food as the Image Shows
! Diameter
Height 54/ain
Ain DP
/
os =
Width
7 inch
"
https://m.media-amazon.com/images/I/71ZkL7BBuTL.jpg,866516,item_weight,"[45.1, 48.0] gram",1,"Amethyst
a iy we +
. 7
/ ; Pm NA
, f)
"
https://m.media-amazon.com/images/I/81y3F0mzpTL.jpg,866516,item_weight,"[34.8, 38.0] gram",8,"‘ae
"
https://m.media-amazon.com/images/I/51L9WyyudUL.jpg,679049,height,2.7 metre,metre,"1.5 metre
y \
"
https://m.media-amazon.com/images/I/61VV3bO9fkL.jpg,983323,wattage,"[1.29, 2.39] watt",9,"—_2amm
—
ey
S\
»
»

FAN Speed 800-1700RPM FAN Noise Level 32dBA

FAN Air Flow 19.2-54.92CFM Rated Current 0.34-0.355A

Rated Voltage Rated Power 1.29-2.39 watt

Air Pressure 0.33-1.5 millimetre-H20
"
https://m.media-amazon.com/images/I/71aewCN431L.jpg,983323,wattage,"[1.3, 2.7] watt",3,"360 millimetre
~ ) SPESCIFICATION
So:
y uA e Size 360""120*25 millimetre
a e FanSpeed 640-1800+10%RPM
e Noise Level 15.4-20.5dcB.A
w S$ 4 e Bearing Hydraulic bearing
is) 1.
3 : e Rated Voltage DC12 volt
A e Rated Power 1.3-2.1 watt
° ; e InterFace 4PIN
j ~
124 millimetre A
"
https://m.media-amazon.com/images/I/71-avN+e9eL.jpg,801829,maximum_weight_recommendation,18.9 foot,foot,"32.3”
7 me 104-
Beet Nie 2000
% . o> @,,
% 4
| © q @:
cy
97,95"" +
"
https://m.media-amazon.com/images/I/810JnkrxfES.jpg,299791,item_weight,11.15 carat,carat,"vey Naman Gem Testing Lab® |) ipa ee ,
A SF 1187-F6 Gems House, Mahadev Johari ki Gali,Johari | \ i
Reet Bazar,JAIPUR , Ph.:0141 - 4029588 4, ee ; a
Web. : www.namangtl.com __ . islet) of ————.
GEMSTONE IDENTIFICATION JR ages | ( oe
= SO Heeay, | A]
wise Bi SES
NATURAL MACHH MANI = ne i Stan
Cert. No. :-NGTL2/21/105946 — |=
. ‘ o-. : y
Weight :- 11.15 ct o | | .
Colour :- Golden Brown | ]
Shape :- Uneven/ Cabociion ; —
Dimensions :- N.A SO
Aq AS Alor Naman Jain, | |
Gemologist(lIG)) |
"
https://m.media-amazon.com/images/I/71CwV-Hv5qL.jpg,525429,wattage,0.0 milliampere hour,milliampere,"LCD Digital Panel
Ice-making status Self-cleaning mode Error Code
Ice-making countdown Add water reminder
|
| Fa - a
ia Tn ¢ 7
, u ihe ma ky ©) !
iHold5s_CLEAN 1 :
— n n M Ca , Cc { | 4
1 1
1 ———€ 9 ii iS Ol
—
4 RZ Kh
e
\_ = ESE
"
https://m.media-amazon.com/images/I/51GXg8VyrPL.jpg,993359,item_weight,10 nits,nits,"SSR CHILL aia |
s OREGANO EES - Organ: | fs ~ Ogenio ii HERBS |
SUNESTE os WE oo HE"" |
coe Gee oy 5 eee
"
https://m.media-amazon.com/images/I/71afMJS8zwL.jpg,648011,wattage,3.8 watt,watt,"| a
o
N x
.
,""
"
https://m.media-amazon.com/images/I/61YOFzszc5L.jpg,601746,item_weight,20.5 pound,pound,"| 23.6 inch Z
| ul
#
5
SS
5 foot |
| 20.5Ibs |
"
